State,District,City,State_Encoded
Rajasthan,Ganganagar,1 Sgm,28
Rajasthan,Ganganagar,3 Str,28
Tamil Nadu,Coimbatore,A.Thirumuruganpoondi,30
Tamil Nadu,Madurai,A.Vellalapatti,30
Gujarat,Porbandar,Aadityana,11
Gujarat,Mahesana,Aambaliyasan,11
Gujarat,Navsari,Aantaliya,11
Gujarat,Jamnagar,Aarambhada,11
Assam,Bongaigaon,Abhayapuri,3
Tamil Nadu,Ramanathapuram,Abiramam,30
Punjab,Firozpur,Abohar,27
Gujarat,Valsad,Abrama,11
Rajasthan,Sirohi,Abu Road,28
Jammu & Kashmir,Anantnag,Achabal,14
Maharashtra,Amravati,Achalpur,20
Tamil Nadu,Tirunelveli,Achampudur,30
Tamil Nadu,Kancheepuram,Acharapakkam,30
Tamil Nadu,Kanniyakumari,Acharipallam,30
Uttar Pradesh,Auraiya,Achhalda,32
Uttar Pradesh,Agra,Achhnera,32
Tamil Nadu,Coimbatore,Achipatti,30
Gujarat,Gandhinagar,Adalaj,11
Punjab,Jalandhar,Adampur,27
Uttar Pradesh,Mau,Adari,32
Tamil Nadu,The Nilgiris,Adikaratti,30
Andhra Pradesh,Adilabad,Adilabad,1
Tamil Nadu,Thanjavur,Adiramapattinam,30
Karnataka,Tumkur,Adityapatna,16
Jharkhand,Pashchimi Singhbhum,Adityapur,15
Andhra Pradesh,Kurnool,Adoni,1
Kerala,Pathanamthitta,Adoor,17
West Bengal,Puruliya,Adra,34
Tamil Nadu,Thanjavur,Aduthurai Alias Maruthuvakudi,30
Karnataka,Dakshina Kannada,Adyar,16
Uttar Pradesh,Bijnor,Afzalgarh,32
Karnataka,Gulbarga,Afzalpur,16
Madhya Pradesh,Shajapur,Agar,19
Tamil Nadu,Dindigul,Agaram,30
Tripura,West Tripura,Agartala,31
Uttar Pradesh,Baghpat,Agarwal Mandi,32
Tamil Nadu,Kanniyakumari,Agastheeswaram,30
Uttar Pradesh,Agra,Agra,32
Chhattisgarh,Durg,Ahiwara,6
Maharashtra,Ahmadnagar,Ahmadnagar,20
West Bengal,Birbhum,Ahmadpur,34
Maharashtra,Latur,Ahmadpur,20
Gujarat,Ahmadabad,Ahmedabad,11
Gujarat,Ahmadabad,Ahmedabad Cantonment,11
Punjab,Sangrur,Ahmedgarh,27
Uttar Pradesh,Mirzapur,Ahraura,32
West Bengal,Maldah,Aiho,34
Uttar Pradesh,Muzaffarnagar,Ailum,32
Uttar Pradesh,Gorakhpur,Air Force Area,32
West Bengal,Nadia,Aistala,34
Mizoram,Aizawl,Aizawl,23
Madhya Pradesh,Panna,Ajaigarh,19
Uttar Pradesh,Kaushambi,Ajhuwa,32
Rajasthan,Ajmer,Ajmer,28
Punjab,Amritsar,Ajnala,27
