Crop_Name,Crop_Type,Ideal_Soil,Sowing_Season,Temperature_Min_C,Temperature_Max_C,Harvest_Days,Growth_Stages,Crop_Encoded,Watering_Frequency,Organic_Fertilizers,Pest_Management,Growth_Stages_Detailed,Ideal_Soil_pH
Potato,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,79,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Onion,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,66,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Tomato,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,98,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Eggplant,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,32,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Okra,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,65,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Cauliflower,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,17,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Cabbage,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,15,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Carrot,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,16,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Radish,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,81,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Spinach,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,90,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Fenugreek Leaves,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,34,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Bottle Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,13,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Bitter Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,10,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Ridge Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,85,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Snake Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,87,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Ash Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,3,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Pumpkin,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,80,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Peas,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,72,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Bell Pepper,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,9,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Cucumber,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,25,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Ginger,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,38,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Garlic,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,37,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Green Chilli,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,40,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Coriander,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,23,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Curry Leaves,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,26,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Drumstick,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,31,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Cluster Beans,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,21,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Taro Root,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,97,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Yam,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,104,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Sweet Potato,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,95,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Lotus Stem,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,57,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Ivy Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,49,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
Indian Round Gourd,Vegetable,Loamy,June–July,18,30,90,Seedling–Vegetative–Flowering–Harvest,48,Every 3 days,"Vermicompost, Neem Cake",Spray Neem Oil (weekly),"Seedling: 0–15, Vegetative: 16–35, Flowering: 36–55, Harvest: 56–90","Sandy loam (pH 6.0–6.8)"
